Feature,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
KDA,0.8258102168910125,0.8381943023920765,0.8623036190760003,0.8185839008700381,0.7654805974799531,0.7204422041905739,0.6584709752684639,0.6069406985694684,0.5664662867426516,0.5268425859386239,0.4944864045869529,0.46275831884666124,0.4403526330051504,0.42774072020011356,0.4152360500323202,0.40403531404761445,0.39899052363710386,0.3977128138231912,0.40012056357533426,0.40428597406381744,0.40545251229737916,0.400717542701273,0.4005091608350719,0.39971451816906234,0.3972687771488392,0.39764909302550405,0.4050117894476694,0.4093210762304755,0.40091999515088544,0.39313301908276616,0.37553678234241744,0.3607422009795974,0.3620474912350357,0.36800272021915637,0.35766931517128736,0.3350582171189148,0.3308122910134821,0.332100632553558,0.3304011387411431,0.3062711640718217
assists,0.6246882083291311,0.6605612115500905,0.7182091814894305,0.6879799007904648,0.6719744165370515,0.6799978288584856,0.6509512702310779,0.6387858001367557,0.6354797304437518,0.6268914908574313,0.6125232860338462,0.5901730062653601,0.5741815632690801,0.5604013369418195,0.5507819913439633,0.5406492603797767,0.5320473196178696,0.5273316664333496,0.5242253565862182,0.5249491210558181,0.5242993605078801,0.5119434695614954,0.5049735820381317,0.4939864890754812,0.483509982034034,0.4737430531893123,0.4644787170673,0.45599225161618395,0.43304013228359134,0.40384465991163443,0.3771654704423001,0.35105267418391073,0.3360904802718239,0.32122526699223947,0.3042252738665937,0.2883469712741185,0.2676843417705798,0.23877231975672897,0.2129049870569206,0.21080204545281783
csDiff,0.04890669466053726,0.1937118576568901,0.24820558956252126,0.2602375565608537,0.2749669880832962,0.28710916826856653,0.32019075553798076,0.36049611703607204,0.3705597835778228,0.395089801395471,0.4222936934544734,0.4285075913471903,0.44586172240935085,0.46618807569910065,0.4710978856187224,0.4792694918306954,0.481546164787071,0.48295740199668685,0.48515845741409586,0.48394880666025714,0.47340684704046987,0.46613744269706825,0.4630662020740366,0.45958542581883716,0.4571762280902242,0.4442057714841011,0.4409743963354554,0.4439475226874088,0.4444001788849691,0.43823822346351077,0.4324903449555795,0.42775254351886477,0.4284795452472001,0.4252744274573906,0.43735849694345935,0.4406285757879138,0.43809188699095863,0.43874213268702394,0.43900624380697834,0.426200619077668
damageDiff,0.2665981409090755,0.2776662135371146,0.3293866165798468,0.3826384941881913,0.41030808300284194,0.43297869374214804,0.4537739781182433,0.4715584388078023,0.48622835801379644,0.4991117212371846,0.5064561724964997,0.5113377090544614,0.5190510402751037,0.5266775939277177,0.5309794044074743,0.5356291297551836,0.5398123422017262,0.5456828537841146,0.5520380054824395,0.5592461579667145,0.5660416809244359,0.5624790014985903,0.5624112399104628,0.5576965772480331,0.5545666748172264,0.5488648007839784,0.5404807146983389,0.5365106792140886,0.5267209812467044,0.511588141181206,0.4995732075616349,0.48641498150561097,0.4812865959130806,0.47065490332531024,0.46609616154305494,0.4585908469130224,0.45094014864492177,0.4512036717598837,0.4469403354938854,0.42133552017587944
deaths,0.20190128661646664,0.2557530057946657,0.2298378894057705,0.1339736295529008,0.11075704021831968,0.11191164295912859,0.08556412189760698,0.07149158363893708,0.05866512795986529,0.03905719590292102,0.02439032423493781,0.01249355783853067,-0.0009565848965918277,-0.017534708204879762,-0.022415873131001247,-0.027422829438720302,-0.03961525341497507,-0.05306901474850729,-0.06906858004656798,-0.0858323616391836,-0.10334691125260168,-0.10792734156432342,-0.11722465132616164,-0.12016400183319685,-0.12089444013034145,-0.12576447587201067,-0.13699063703258574,-0.14420040751271138,-0.13805600978842986,-0.11226818153352125,-0.09252593218309768,-0.07204799671121896,-0.06895311746108995,-0.0611506141290795,-0.061231080043910265,-0.04632970484614858,-0.038155016468515206,-0.03991049519612175,-0.02817353242130638,-0.0072257354624309204
jungleMinionsKilled,,0.02196228457849993,0.02063798523873202,0.01827610100150396,0.022808940692081118,0.022799999856900458,0.02309567155098902,0.023823986129141814,0.031018492645882436,0.03435999768683779,0.0373327755942974,0.057889202366784326,0.0701036775767248,0.08482550557006655,0.10831632705922495,0.1350535652297549,0.17060709596942775,0.20909782972092592,0.24373347425490027,0.281523595002329,0.3133096551049333,0.3392603646002429,0.357644405665472,0.36934092137513386,0.37930009081585997,0.38861629825925526,0.39839327573974875,0.4024287972209446,0.40130876273989236,0.38941458640695237,0.3861142311445602,0.38887600943814865,0.3795196444114205,0.37722656877484223,0.38485299774317283,0.389492259613201,0.3775583395685248,0.37787515482264505,0.3770186866380529,0.3752558842999351
kills,0.9762475779624744,0.9533805639924373,0.9476700430210158,0.925035175742461,0.9184295236145259,0.9208112795640374,0.9114213134377107,0.9047330528812073,0.9038031685297356,0.8985197399053608,0.8913768642406271,0.8838911235245686,0.8746970487637719,0.8673075610775185,0.8639000143539263,0.861199769207158,0.8592302765696196,0.8581069208001407,0.8574172516932566,0.8578844894009051,0.8598254904096698,0.8595354042804476,0.8585120367359645,0.8579936323607379,0.8575156254359575,0.8529501889915113,0.8452387453309832,0.8389835819439584,0.8341251167687946,0.8295986280406926,0.8248442898457568,0.8221797060057054,0.8220752491257484,0.817530863205319,0.813460373919847,0.810090792483227,0.8031138910535137,0.8000494686120023,0.8012126920296485,0.7921650680835945
killsDiff,0.602775257450477,0.5846989423543724,0.6119674991431832,0.6288001618345817,0.629773209099086,0.6297023501981124,0.6324489032358558,0.6341543486215231,0.6381419602807802,0.6416093507315298,0.6432861122107154,0.6424984805666125,0.6434118154249671,0.646910574508295,0.6478932724117537,0.6489422021089005,0.6520443457593876,0.656482536829175,0.6616964002324764,0.6670440794769182,0.6737178511524733,0.6731808211412569,0.6746046613798357,0.6725500468805192,0.6710724054657551,0.6684050617553627,0.6677163319572879,0.6664784196342057,0.6605732792234132,0.6468083130560532,0.6383587714992484,0.626355113055936,0.6232485216258928,0.6158882368231767,0.6136976110981166,0.6011072236436699,0.5971031935446307,0.5942694545620176,0.5919455758958875,0.5717319136692375
level,,0.05629125090274717,0.05272769606978988,0.05676405384662608,0.1269748971678192,0.17652694055246396,0.21729644108398113,0.27174316266913207,0.304721412530655,0.33084951323981143,0.39053088158523863,0.41627610605734117,0.44855192479616773,0.49079054342881556,0.5112039411463356,0.5304506443273647,0.5473424859939957,0.5641903657222088,0.5816799366109325,0.6010571514320859,0.6097740722443041,0.6214781401072139,0.6320561369412173,0.6414198678403229,0.6431075545181643,0.6540528903521585,0.6674589237045992,0.6770790659250775,0.6770148002745227,0.6647067243565329,0.6559494097865781,0.6450315686642517,0.6368555261003171,0.634824627976189,0.6220703881682681,0.6054314036479064,0.5782291202932265,0.5511545866008806,0.5162810772776728,0.48081325599316044
levelDiff,,0.0257725373094254,0.16061282742507435,0.25529463193067164,0.3395839759424769,0.34641528089770457,0.3780088759173131,0.4166944998006302,0.42654161635668314,0.44895135633332917,0.4742981885769686,0.4792010448762926,0.4904453127439547,0.5106642690166235,0.5118145400816172,0.5167232859142145,0.5206056480037631,0.5279838231494711,0.5371369202587101,0.5462789630348951,0.5456074945129489,0.5419851993580521,0.5439383040851752,0.5454918930836822,0.5432085850103846,0.5481335837237424,0.5640769858756219,0.5764528857020261,0.5754268230849916,0.5566412126974567,0.543556029336472,0.5263397876240118,0.5159625019085726,0.506800039676253,0.49318833448810706,0.47148026582409563,0.4466464100416427,0.4301013188720958,0.394954105185005,0.35894006976322207
