Feature,Win_Corr,Lose_Corr,Diff
xpDiff,0.4842343160969465,-0.3090254723089662,0.7932597884059127
levelDiff,0.40202732603495145,-0.2358861531576105,0.6379134791925619
killsDiff,0.2965013734375953,-0.05665308211176109,0.35315445554935637
damageDiff,0.2404488229275586,-0.05328588159676674,0.2937347045243253
csDiff,0.1548147615094094,0.014642793868617627,0.14017196764079176
objectiveParticipation,0.7242360770348371,0.6309180233574763,0.09331805367736079
KDA,0.3363450251778303,0.25566999495210896,0.08067503022572137
jungleMinionsKilled,0.6185656796750149,0.5614028953697416,0.05716278430527322
deaths,0.7825993355370574,0.8181614868826337,0.035562151345576276
kills,0.8447554746133326,0.819267797762637,0.02548767685069553
assists,0.8857418596067692,0.8636972116410535,0.022044647965715702
turretPlates,0.45555238750712884,0.43965570755067457,0.015896679956454274
timeEnemySpentControlled,0.6398299478039847,0.6302684441303479,0.00956150367363684
totalDamageDoneToChampions,0.9417289940595371,0.936907013832216,0.004821980227321165
wardsPlaced,0.8104584574299964,0.8057765022715391,0.004681955158457374
level,0.974806172505545,0.9721189854230295,0.0026871870825154742
totalDamageTaken,0.9361750646500904,0.9385417838246123,0.002366719174521914
minionsKilled,0.9616691414826884,0.9625826925781643,0.0009135510954758619
xp,0.9846513756539346,0.9852289493230512,0.0005775736691165934
