Feature,Correlation,P-value
xp,0.984915946966143,0.0
level,0.9734104536894188,0.0
minionsKilled,0.9608794558171201,0.0
totalDamageDoneToChampions,0.9395911249700812,0.0
totalDamageTaken,0.9324964517880198,0.0
assists,0.872795111219862,0.0
kills,0.8321683725217504,0.0
wardsPlaced,0.8069575733248044,0.0
deaths,0.7833784493721591,0.0
objectiveParticipation,0.6823064597250912,0.0
timeEnemySpentControlled,0.6348488977887361,0.0
jungleMinionsKilled,0.5940980359847048,0.0
turretPlates,0.4502094386248786,0.0
KDA,0.3051138218253952,0.0
killsDiff,0.13488908211631093,0.0
xpDiff,0.11450498050917493,0.0
levelDiff,0.10707754895643645,0.0
damageDiff,0.10620557969485193,0.0
csDiff,0.09252660228702797,0.0
soloKills,,
