Feature,VIF
xp,245.4941038163384
minionsKilled,159.43526964984363
level,81.01692505246028
totalDamageTaken,74.56018103664849
totalDamageDoneToChampions,61.0883527812873
deaths,25.87928111856642
kills,19.39627846895469
assists,14.585246653295108
xpDiff,7.642916134443001
wardsPlaced,6.984177724626847
levelDiff,6.063530509994424
killsDiff,5.084439841433924
KDA,4.490249626064775
damageDiff,3.9647938898631865
timeEnemySpentControlled,3.274932980637887
objectiveParticipation,3.201087951596458
csDiff,2.3681407747189502
jungleMinionsKilled,2.2939602191156543
turretPlates,2.082768373914176
