Feature,Correlation,P-value
xp,0.9824750279399449,0.0
level,0.9692891058086834,0.0
jungleMinionsKilled,0.9520993794050133,0.0
totalDamageDoneToChampions,0.9131746304999531,0.0
totalDamageTaken,0.9114824612490723,0.0
kills,0.8366406782210228,0.0
minionsKilled,0.8008810713019683,0.0
assists,0.7737126827376727,0.0
objectiveParticipation,0.7703824338138249,0.0
deaths,0.6870097219156965,0.0
timeEnemySpentControlled,0.6696101243802717,0.0
damageShare,0.5151855613870513,0.0
KDA,0.48852113300817407,0.0
killParticipation,0.4397123607535954,0.0
soloKills,0.40679263507423785,0.0
wardsPlaced,0.21210887298454917,0.0
turretPlates,0.17914728141207972,0.0
killsDiff,0.1626483117347499,0.0
xpDiff,0.14833020978158107,0.0
levelDiff,0.13530789576411287,0.0
damageDiff,0.1295467154839799,0.0
csDiff,0.12191837062235068,0.0
