Feature,VIF
xp,297.6883568684919
jungleMinionsKilled,237.80490473047143
level,126.55505960166235
totalDamageDoneToChampions,37.25475112882214
totalDamageTaken,32.41578165759977
kills,19.23954002486494
deaths,11.35241231689807
assists,11.285625462293703
xpDiff,10.365954174882416
damageShare,8.687777532906303
killParticipation,8.558095302747638
minionsKilled,8.325044739929174
KDA,7.240887727089366
objectiveParticipation,6.804964769812725
levelDiff,6.079098598672544
csDiff,5.815195634204608
timeEnemySpentControlled,4.959863926642995
killsDiff,3.8561627828806855
damageDiff,3.4116575897257255
soloKills,1.8666202011679223
wardsPlaced,1.4221690387251358
turretPlates,1.1015808576570214
