Feature,Win_Corr,Lose_Corr,Diff
xpDiff,0.4074267713488161,-0.16588723275544995,0.573314004104266
levelDiff,0.3321941001083105,-0.11494504682599531,0.44713914693430584
killsDiff,0.2845102817059458,-0.011633981796516413,0.2961442635024622
damageDiff,0.22679107787431427,-0.01713934675790653,0.2439304246322208
objectiveParticipation,0.5690774437871703,0.4873502707566284,0.08172717303054189
KDA,0.5309259721396516,0.4592516675920565,0.07167430454759516
csDiff,0.14392768361557956,0.07339877474637813,0.07052890886920143
jungleMinionsKilled,0.49361191340463056,0.4458194460644314,0.04779246734019915
deaths,0.6655091780252158,0.709180838073935,0.04367166004871914
assists,0.7509227439115163,0.7227118123069987,0.028210931604517597
kills,0.8076104005563651,0.7819839395110211,0.02562646104534405
soloKills,0.4694719176290329,0.4442060007676668,0.02526591686136609
wardsPlaced,0.42994764441497624,0.41384261321656535,0.01610503119841089
turretPlates,0.3929366888571773,0.37980772807640895,0.013128960780768362
killParticipation,0.46834315437075097,0.45648664779740794,0.011856506573343029
totalDamageTaken,0.8715602143039125,0.8774925875508506,0.005932373246938072
totalDamageDoneToChampions,0.9250723723710775,0.9198764175917274,0.005195954779350087
timeEnemySpentControlled,0.5282974374997377,0.5245855236416322,0.003711913858105431
level,0.9530169784483594,0.9496032233057028,0.003413755142656627
damageShare,0.07716423857091682,0.0761442042482129,0.0010200343227039221
minionsKilled,0.9538195497061711,0.9545339763574627,0.000714426651291622
xp,0.981608720308513,0.9810600379782621,0.0005486823302508492
