Feature,Correlation,P-value
xp,0.9813703791635967,0.0
minionsKilled,0.9531446436887365,0.0
level,0.9512663745306524,0.0
totalDamageDoneToChampions,0.9228131645783275,0.0
totalDamageTaken,0.8709567310249429,0.0
kills,0.7951475857329984,0.0
assists,0.7370950230493069,0.0
deaths,0.6744694966345618,0.0
objectiveParticipation,0.534039185102168,0.0
timeEnemySpentControlled,0.5263096481012419,0.0
KDA,0.49547363633047187,0.0
jungleMinionsKilled,0.47331102156974475,0.0
killParticipation,0.4619992253709657,0.0
soloKills,0.4594187916605759,0.0
wardsPlaced,0.4213838997268584,0.0
turretPlates,0.3886704209120318,0.0
killsDiff,0.14759782766132515,0.0
xpDiff,0.13846451627384584,0.0
levelDiff,0.12438442233895587,0.0
damageDiff,0.11438750585111435,0.0
csDiff,0.1131299805002852,0.0
damageShare,0.07651724946471537,0.0
