Feature,VIF
xp,349.3583330001023
minionsKilled,216.47522985125008
level,109.58246598850458
totalDamageDoneToChampions,48.8265938620388
totalDamageTaken,23.87934360352812
kills,16.005619469816867
deaths,11.855696383016404
assists,8.30919294295459
xpDiff,7.776996468915352
damageShare,7.213071250998252
killParticipation,6.242213904143178
KDA,6.093004002843659
levelDiff,4.90426648169445
damageDiff,4.2058474205168395
killsDiff,3.969495512332424
csDiff,3.5416617932208276
soloKills,2.6759794059345157
timeEnemySpentControlled,2.3763548267857124
objectiveParticipation,2.0745576328755786
wardsPlaced,1.8041420654794744
jungleMinionsKilled,1.7092408290833323
turretPlates,1.6597269556031522
