Feature,Win_Corr,Lose_Corr,Diff
xpDiff,0.42296175230051175,-0.11844987647243271,0.5414116287729445
levelDiff,0.3426669595480518,-0.06568659856530319,0.408353558113355
killsDiff,0.30397327152886466,0.017417900851356048,0.28655537067750864
damageDiff,0.24078403194858652,0.01899041662976416,0.22179361531882236
objectiveParticipation,0.5403141340371964,0.4584814035634182,0.0818327304737782
KDA,0.5417464837721825,0.46927439222460804,0.07247209154757445
csDiff,0.18889973685617684,0.11917062946676822,0.06972910738940861
deaths,0.651072423609853,0.7010401485541851,0.049967724944332104
jungleMinionsKilled,0.5546522966103468,0.5099252366914981,0.04472705991884862
kills,0.7983274804446896,0.7688817999765302,0.02944568046815943
assists,0.7288661794162595,0.6998558313272248,0.029010348089034688
killParticipation,0.4701049140041244,0.44600671543120357,0.024098198572920837
soloKills,0.5089035250377145,0.48572889733680114,0.023174627700913386
turretPlates,0.4716958293814755,0.45940616712277427,0.012289662258701206
totalDamageTaken,0.8836907776808964,0.8925314072554926,0.008840629574596193
totalDamageDoneToChampions,0.9214142750259351,0.9165577317657752,0.00485654326015994
timeEnemySpentControlled,0.42801417569571437,0.42428109855362006,0.00373307714209431
level,0.9475283358890197,0.9441680215645579,0.0033603143244618217
damageShare,0.028663475511539013,0.026219409946285265,0.002444065565253749
minionsKilled,0.9585874092522194,0.9600477518814591,0.0014603426292396637
wardsPlaced,0.15964678840256127,0.15890636482483161,0.0007404235777296597
xp,0.9802255779984202,0.9798987818281742,0.00032679617024600205
