Feature,Correlation,P-value
xp,0.980095375262346,0.0
minionsKilled,0.958262838631932,0.0
level,0.9457862098725416,0.0
totalDamageDoneToChampions,0.9193137989617601,0.0
totalDamageTaken,0.885092811663667,0.0
kills,0.7842882759023753,0.0
assists,0.7152040084428604,0.0
deaths,0.6633228340676421,0.0
jungleMinionsKilled,0.5356683469988293,0.0
KDA,0.5059168738509581,0.0
objectiveParticipation,0.5055803881709836,0.0
soloKills,0.49986911470575784,0.0
turretPlates,0.4676860782479853,0.0
killParticipation,0.45777235768826163,0.0
timeEnemySpentControlled,0.4257607230125793,0.0
killsDiff,0.1716440917862925,0.0
xpDiff,0.1689558503286604,0.0
wardsPlaced,0.15932132485351327,0.0
csDiff,0.1586257544972762,0.0
levelDiff,0.1531887122092223,0.0
damageDiff,0.13877822029778533,0.0
damageShare,0.027128667249471772,0.0
