Feature,VIF
xp,334.34152685926733
minionsKilled,195.926984827422
level,101.35206187455766
totalDamageDoneToChampions,50.785255763319924
totalDamageTaken,30.442757025124436
kills,15.282276230976963
deaths,12.091534418345253
xpDiff,8.24370175505973
damageShare,7.0304234701877935
assists,7.011625497493984
KDA,5.90953833709831
levelDiff,5.4537355892812895
damageDiff,5.230738902976176
killParticipation,5.164632636446368
killsDiff,5.136171972252579
csDiff,3.899024552901211
soloKills,3.7809152309913716
turretPlates,2.0279337790531455
timeEnemySpentControlled,1.9377155111261406
jungleMinionsKilled,1.927709375582477
objectiveParticipation,1.9103877735639072
wardsPlaced,1.1283183460530977
