puuid,games,contribution,volatility,win_rate
-2-vwO3FCVEM4JBqDZZsc7KEpmx1hhf2CFi0cTl1GajBg3NP7ydBOLoAcdpci9XfxnFvKUaFvqcUKA,562,1.0167441751695405,0.09215129607262959,0.4786476868327402
-9ic9IEGlHANixzHDtdUZXQhaUTnCTxEcvf0sXu-XkYyq2CZwrFcMibfIJ2oCGpIlZweK4PqkPbhLQ,43,1.0138891267118968,0.10149400102007843,0.46511627906976744
-C_ziZCdCT0zTMH3kGTmp03dDf6WVNXXsUDj8J9nO5WTWp7VJt_uMG3XhC0voAovAGkqNk1jwKwjyg,99,1.0287210774557267,0.09297956059305801,0.5858585858585859
-E7p3xsJeEQMnonroUH3-kbkzCd-KdMxgs4Fnz-BrSu9rpwMXypvtTHMIWv-2_RtA9StOXyBuXdijA,51,0.9937799166759856,0.13469788229532534,0.45098039215686275
-LfJHiunEhhPckYMX64efn687JWe8BLRVgI3aADAt4DPyBsyB4P_KCbkSPgiVAv8jgY9a8CU9MzVdg,249,0.9786884719449844,0.09298979623715292,0.570281124497992
-QD7cKGx9MJKcrjKJ5crMYDCZ8R_WgwaS-g2rFqULXE0dukWEH_mH5KV3LL60OE3dwRVk8mARCBnAA,42,0.9747981624580939,0.07630806570321563,0.5714285714285714
-RpMzyvyToeMVATBXPUNOFh8PH8wifgnDtkiIrLQ8DuPlxuPUidYv9jQjcjR905aVG_J-Kzy04V0Uw,66,1.0375942419163986,0.09860004276092238,0.48484848484848486
-T7J8ONhr_9jJ8VDkiWqnyUcCp_JvUgdoEFfEtXCIZCLIzNsD3eP0VaxpFhPOzokX3PTin7eJoOW-A,60,1.0046014376961283,0.09673038475472236,0.5666666666666667
-Y867q0f1upNaAJeh80elcK9wygKEcBY66CcpyybYQ-5nLydHHaVCPQkbUCM_JhwMgj57HYCcEFmJg,139,0.953487145074481,0.09581143024528921,0.5539568345323741
-ZufQvsedDCrzVMtnvB3zwcOTelGvrFFZTj8xPOTgguJBw1dZw0R-hhfkw1siTPnZCeq74BJwcD0bw,34,1.023358304392616,0.1262576678299041,0.47058823529411764
-_I4S6Cbbuw29ux8gJczmczA3ptkdYTZe1u4fvlSHcbPTvU3VnPNurVLUIOw9dt8NARUlgsALLP2vA,193,1.0118338240856262,0.0931373637375337,0.5751295336787565
-aryCIHQmN1t3ue1iixzcTUkdEN4D-CZXi6isb3dg6jBbh9IW5K6IAEnkUTuBjknHSb3YAyv52Y_rA,81,0.9952574365630317,0.09906938689196178,0.43209876543209874
03A-IoDQPhtj5bNaI9ropB9QVYVyOWHwxnuPebQ2HKJK0DciXeNA97bTlGLF1w5NzFyXtbDrTlIUZQ,62,0.9807915776737981,0.09357979518755424,0.4838709677419355
0IlUjB2V-qVefYJG-pVe_BYjYPlMuONo30pvVbsaWiHBHm_Bq-093eweMmZM41E4zz4QRIiCiLrA6g,61,1.1040493171537011,0.1208266824784023,0.7049180327868853
0fBMTu0RcS53JeykhTvLID8NSvWLF20GilHyrzOEf9CXl-MU2LVJ6jm42iSQ_og8yBXpG8t9BQGV4A,53,1.0508299916732775,0.09228241572857183,0.6226415094339622
0qzRCZvqKj3W6E5xp6cOXqFgwMzkoeY_Rv9UnpNS-M7S_0Qt_WDtaP4dFfx99_u3usa6g6SvrpTwTw,188,0.9977115453581228,0.12116562688210666,0.5
1MFLHkQXFeDDniQ9AbJ-33ubRF5TYQc-iEaxrzMujvu2zUrX9Vgitq9n2_sozWlWxJru48Jr7I5SQA,96,1.0139002571382325,0.11042235473811833,0.4479166666666667
1lk8VUiy2jhBByo6RzFNLZa_m4QYPvB8vxV-A0dovx0uIarVYFDQZ8hok6xrV5lY1VZSCfDG-zkMug,43,0.9846654887798356,0.09889309714865022,0.3488372093023256
1xLNXEqnHC_2SZooxZ64AN3fhBG4Nr0WEqnzFojU4Nogkyfyw6uYDEqBMMK1w_kGMC-7PjTKovE4Og,108,0.9867232342043181,0.09214310412016222,0.6388888888888888
1xgbOOKvrmiVGxdyjO3uv-YrLravOiEz1yUuR_XhTcTB-4Y68ZGpaDBM95Eqoxwjiq_G8dcrX6tk_w,70,0.9702598111072593,0.08352681763854793,0.5
2-cKStdoETxfUKUCT2uREiUVgNKuHUlEJ0rYD89KfqCGruZoNj_S7a4natWTxRqcHi6GyWCBREShzQ,31,1.0564598642088163,0.12570177347757763,0.6129032258064516
22D4Z32BNVFXziK9YlA3rO4hj8mQlxbq1R2VfLXPCi_Ir2BUsQ2vld4zTrFHWfEZVhxp0skyj56jIw,72,0.9845504685462265,0.09291191511328853,0.4861111111111111
2NfrMPGo81wN0fp4kNz6yJC0DtNDt00qVAuKjDNmSlm0F7IEsK1JqaS_wosO9g793whRmYLK6CNyvQ,93,1.0132726558545806,0.07606258258612363,0.5483870967741935
2aXB-QZaz0rIw_PwXnCZwZdyAGovuA2aLys6QRVnHSNL70BaM-6czLKrlWQSgcmAlfW082evfYZEGQ,31,1.0160757140367631,0.09334390435150053,0.5483870967741935
2c-MmM3dKkTTRvSZ-XhAHf_Sq3R4nGiq_oI3_-KJy8IIP4fnhfQ7Jm1nu0xa4Cgck3FYgRIL0xJh4Q,34,0.9795699726428997,0.06970748233420161,0.47058823529411764
2ksbTJDdSkkeSznXm-gHeVedeG6JHVKsQZM9bfbWycWblee1Fp3wBL4zfsJ4PB4pBeJvuMMyEegevQ,30,1.0747536386694423,0.11888808838770568,0.7
2m0QA9Qe_zm20oOjc0WjJ19qwP8AbzJMcH6iF3EzsexN2HMoVTMuVPj8i01i3KPXt6Q3m4Z_crcXIQ,36,1.001885231108808,0.08077601407164614,0.5
3050hmoT5R_Pah3tk8fi_eR2fhU83Ek15lClFX8SJIyBXVlvTbWXLC8UhWm85uqA3xynk72mHRJsuw,99,0.9835936724428459,0.08765604115755947,0.4444444444444444
35AoxTWUHHNG0PO16A8Hn168fcRRWsw6HLUjWSavIkUXVommQDBOg3_bK_OtROWNX0PYSFIQ8Tmmmw,91,0.9796841960644872,0.1034251311353773,0.4725274725274725
3633SQG3QyJfPb1NO0NoMvj-DCzNYLSskmNKQdKyWSzq64jf3cbEfOiDKjjneLUS_k7HNxfeeo1BOA,34,0.9027134051046448,0.07191688008618576,0.47058823529411764
37D_TxFZ7UtiPUS1CILQzaU63nI9BczhnbqRAeZ6fdYAKzutQvSMpQhHckWPXKsTZHGvCEqF-kjrjw,82,0.9920578716307278,0.12743917409486544,0.45121951219512196
3PV0N1WhJB_IY1yxcOAVIHy_k2WlgszjIeRzR0HVmQiuv-QOzx1B-w0jaBidjgOrYLNw8acjU53YQg,201,1.051077259775379,0.09356671836648299,0.5771144278606966
3Q7P41w52-DKxdmak4dFoLAu3ZBWnh2OksZc4R3nBqkLIt8kSJPKLgiIMxF4i_NOVDsQ8EFGGm3upg,129,1.0093760538397818,0.09971957129885095,0.5348837209302325
3Zrfxk1yrsizXJrV85e7r-ZyxguwMT2SawMKj6vYlR1NVshXcG-37OeOlh8dWBmrEpZCPX3P6Ye5VA,174,0.9692781392207863,0.07312525312958627,0.4942528735632184
3mdD_mYi4UyNkB8zjAWer-Z2I4pDMwNPTLU6vxOAI-SSzg47I-1xmKORB9A-w487aeuSn_6Zpr5aJg,108,0.9528532205770669,0.09737092474808305,0.5185185185185185
3o9923Uc_k6YecwYzBbExQ1_Nsz5jDxUmxHyKuV5BQ_XT2fWnOolY8-ZoRG5wN270qc5WzXDilpm0A,85,1.0320370740183802,0.09503552627700243,0.5764705882352941
3obkQTEFw1Q46sY_Ln0qjFXrCZ2DUpPdyaI1wyoqloqEWxLDAFnFLDvkwcWc_w5r2ONluTB_ufnJwg,31,0.9820259170346255,0.06161503668434561,0.5161290322580645
3v7jZ16aTGpUKoDaUtwSO3XKX_2aHY0BaGnS6sJGgOD8Da6YxHWz7sdMz8qSXWeZ7-6fO99XB9nHmw,40,0.9998794774497834,0.08189641262797621,0.575
42H8GLN0SYcFxmWFqTdyqVxHS0PH3AEr72Zlg7tRXWo0HWI8_OlrC9klnO5W96uIqkW8kDbi9F0QaQ,69,1.000565426459045,0.08588771887453618,0.463768115942029
45FTXK4jpVFtMjemwUPT8-ocyU5ws3dkz4eJhclwGufpkKDcoVtkvbnXMmw2y6hxYwYZ-QjKLEsA_w,30,1.016241713965377,0.10409010375153485,0.5
4KSvpGhuniaSsLYwNx8w20uGjVCeSDGELFRclXu2YgG5YXK4-JZUaMG2ISLwC3vphIEwVCeDqmbV2A,46,1.0109915610144469,0.11035348999961858,0.5652173913043478
4oGIB2FgSNi1xvfafaROkv10tP5kVW5n1YuSzESsr5spcfFYFN5FTN3aCgaxQQrgm34nDqwL-N_fRA,35,1.0462787544211731,0.08074162807182483,0.6285714285714286
4sU_zD7SlxES8CruaUNSJHsE2N7LYSkAqPpN2UmNUEWnW4f6mc2x1Lkv37YMHC-EmkfVfUU61yIPvA,149,0.997009055333691,0.09635637630205209,0.47651006711409394
53wIvDEtQL1tGoRRtaDyJ0l7pIGKSVp5u42rI553srNJkmUG2mnKkGDFZ7Rz2WvL65B89Md9vdVGaw,45,0.9712957106096313,0.10883416945329205,0.5111111111111111
57FondTDBRhuC3CTDnlUu6SpzGIKUQ6F2mbZToPN0LLn4t1suh1wGHwoKW5MDudwnmCzqmMp4HKOzg,106,1.0184256555075837,0.10925105006126933,0.5094339622641509
5AoxW4S89_BDoMa7V2lW7vOiO9uoQE08KuYBl6ZynLhSIJ5S6jUpxBTOxAJcdv5lfwJt2gz_pmHNww,36,1.0271845942337088,0.10877093238074914,0.5277777777777778
5OPJrxkmRZbJFjiNFl9d9ImIox03KLAOXYeOE7IHInab-j6XVO9Ykh97MvoViDKa6pz7MjvRW7w08A,46,0.9589323256980066,0.08336118492905566,0.45652173913043476
5V6mY-_W2-_fXQ1yoZYlZxWE3KZWNpvogRzFOJ7POMYFiaVRNvsY0K4heprjnvbqSToG1PE_Lmax-w,37,0.9423783463512262,0.08713624730697138,0.4594594594594595
5VAnJyk1AESKQRvElEz0ekAfEahiRbc3ug0P1rEJuTAFR_A0qJtUj8Xk3PqPDVt9h9Z8-OgFHteVgQ,143,1.052753332982183,0.09034729820024397,0.6363636363636364
5_-99IiQ0ZvTau_GzEwFv6GmdVkReEg237y6S8gIfVz5X-v2eCa8_4TQxfeDMzLNOHb6GHJ5EZiMCg,105,1.0142518875485464,0.09886573099858299,0.49523809523809526
5fGMzLoO8oz68No5mtFrsTpBF8NN4yK-Ld8pSMu9kn1g94ip_bT4VxjXuDz6nhUw3Bf3qfzqUTUH-g,37,0.9972922617735894,0.09936524684607748,0.4864864864864865
5hBQCXibod5YeeLcyMVDRvEk6pJJIiNKQbSYcmjQJNNsdTiz_AUhUX9Var8LLOcpTyqTckV_h-e-BQ,128,1.0561812541815678,0.1059376693970995,0.5390625
5mHBno_pUqjkdsHnYgQ_Gz_AfHZTx9pvP0WYNglDss6bXRr0POSHtHyddvdiMvIqeOKfjOqvoXZ50A,177,1.0432247936063628,0.09754508032708002,0.4858757062146893
5p9MBzZyd9pvQA7xioyrY0mNYMbMO2L_JCB7hpH_7P5o4gf5RF8cX_9c0-WCBcotUjXZ5LOlbTs27Q,36,1.0544662071031243,0.11793922021342983,0.5
5pLgS5u_kXQuod3DxAl20dGBQP5TSGaEJS7yc27ihuvge767c_DPhV94s3d9AK9abNlImL3jPetFYA,44,1.0185498801088615,0.10986875943936075,0.4090909090909091
5pW1lAPayqXzAO6onUrGUYkCyS1E1LKAHwgWegpKFIevurYBFvmeKg_L8zwFuE38NyrDwKWkAIGaYg,65,0.992602741842392,0.10542860479601136,0.4461538461538462
5sPJ0B6UtZAF8q1G9osrVEWjJoohtOHsazoFa1NW_X6V_AjQBVTti9b5EgIRimxd-qtI03LjFRQsMA,51,1.0559541513493855,0.09391900772743368,0.43137254901960786
64uqgRWg6heaz3gTFQas5DwjYlWVl53wlYsOvrRhZMyzLgNu0wwMboFt9MMf6aIomEqLZvQXbcF8yA,100,1.0184611676793942,0.09330331563728395,0.55
650LhG0tAC0i98D7Vhq-KgHaEvZhfDD0D2N_e4c4mL70SX9xNFuHfkqLPYOdKrSq4dKLy_VmgbZZoQ,67,1.000026788991294,0.08622911564896985,0.44776119402985076
6DiAAJq-qfU4boZFScjia35_g9p7OEhPkw8ZZRklCmJeKUYnUpgHc48NjOWodEUEIQpHKwTcpaYR3w,42,1.0525922290710281,0.10243379287026412,0.5476190476190477
6I-6UEgK6as_ObVVDhkKmMZC_OgMhvAk5lzC505hEVSeOxGkXYFY_oOuIdHXI1LWk9EHyfT2Mcpetw,34,0.9774113867222805,0.08646995752135092,0.47058823529411764
6aTEsF6bx37P3xGRRY2mc2UviEbQf4C37ULeK_cu9D8dJJ2shhAWkEPXjzdfBPHctnL4WW-OSjGw1A,100,0.9950893242485506,0.09607144308566305,0.45
6gYkDF9bvcaAuyc5JWjF5ZRVwNqH7rQ7w_v7LX502EYOeMzwGjz_r9B6C-Z70F4-UDtfZF7WPSVkDA,31,1.0978190897128468,0.15192753830749903,0.5483870967741935
6r571uB-kh7FHoG0z3PLTmhUI8KSaRnB2PrBbdbWBb1p951c0Axrin7si2W3ArdhnLh3VbmQJ6jSTg,226,1.041842521265906,0.09796530635183058,0.5619469026548672
6rSQt68Al_EZEghSEMTMqLiHQ_xYqj3mCk_64_zqxBYBzJZhqGNPf7GXIxXFYypUFwcjb8zpmxcXXA,152,1.0701598134152845,0.09012448820082494,0.631578947368421
6uiiWiKe2NQvrJKnBRxibfqve6C8liBwT7pGuT5q5z0zGETKChIfWRIy9Cas42siHP6S7swpQv2UFA,32,1.030749671196352,0.1261038510717258,0.4375
6yFpzPNI2bZIhwsf49wnMRdy6-lcGtu1xpTkFz63xu8XXuZA4vRpHgyWTgo6iPTY6uoitEqVvFJV4g,139,1.005787963695867,0.10058583098233563,0.5035971223021583
71bOPcpsPsk1-DEtdGTg8gaB6rprTieKiEBwBOxqQ3Zvav2uq10oLZN8xTx_gcTBBhynS1oTHl40OQ,156,1.0487332408080614,0.09181831294648482,0.5641025641025641
775n-v7VZXb1yaqYS6F39USG2pYy3oa7ZOd8DKoZPl2TV6mJypSAUZnHfs4MUZRp5sfK01njZjsbGA,30,1.0070568233107051,0.1071766112671911,0.5666666666666667
79Qp3ImYFRzn7IvCRrhYBQu72-6_EzqdH-ZhmVLZORptvRsjdG9j4XCX-eCACgHkUxBkfb2qf9C3fA,38,0.9900197379868738,0.10385914616883539,0.4473684210526316
7EgZPw0pPANEXwYAEu7mibSBhRT01Q9gsj-ZjZaURSKhj4Roe39uczpdvV4GvPR-gmnmd3Cv5kfG6g,49,1.0063795717735073,0.10167977331445306,0.5918367346938775
7F13_WoRos7YXKGB6-8j89RBukyX61GFoek1fIZEyiVK3cTm9gNxvNmwTQRIlnuHO20FRwmRTPQfRQ,34,1.016560878118559,0.11602436631604776,0.5882352941176471
7INbcIEExThYp9fTGNn5ShMmI9840hJM__ic6JwqrDVsRc-3RrRU0aU_KPJGmm9YY_7H6Xkgds_-KA,215,0.9927122984465816,0.08212106596579512,0.5627906976744186
7SLto2ICAtmuNjC0Ug86-krsMRdTMplkRO-oKZlfCxilJzO5EpOWHpdpGOG4cwd19ySaCmhEaSifzA,235,1.032924072044328,0.0957108770289266,0.5319148936170213
7V2RNguHCy1dNaOx63_DQUrHQ0yrIP6HQjgFkCshWXnhl42fg223_O0Znq8Yf_9D4OHH832x_iQ0qQ,256,1.0081638761781662,0.0881145711316864,0.55859375
7WmNZM5-xbkTcopiwiF6qzs0-SuH7yImIR_SeQvBSAhAMpBu64esN4_QFce87EfVYPHDcoIeBTIOYQ,114,0.9786779965528352,0.1005395534294142,0.43859649122807015
