puuid,games,contribution,volatility,win_rate
-3DyG3Y_jyCyLFjuKfLZr8RLWVc8kY_9nyR4ws_v1qjuVlw5NLl45CkVOqd6NLMRFt1jb0DI3rjsAw,284,1.0437756129730869,0.11156795151068838,0.5070422535211268
-D5DqRYaRA4pKtpxtnOg_5isyzu418GH_jZLtTB8aSwJCisN--TcKYSkavqJQuZcqRgEUMOIRqUf6g,105,0.9256026938878016,0.07040772861112143,0.580952380952381
-MYOxGoS21BZViT48cXmOVwsv08QRfD9WRnphf7i-gh70YDdn0b8pOK-ehsjGVItRpTf4g360Pqo6A,105,1.0295602250718814,0.11727782721806279,0.49523809523809526
-W3_FlFixzuahDhuzTLGG4TlAlwr8aYrRqQrQURZMQN6lvoaLzQt9DVtVKSmHbfC516rzdtB7471NA,57,1.0147323276519977,0.10436323954913057,0.5614035087719298
-Wc5gxLmMlM_7_VVOp0dvgbA-XH62BxpiWPdT2eQKW1YHx8F89RYiQ7IZ_Hfmrjtuc4tFTudaRVOOQ,48,1.0077325776354475,0.11134019761537789,0.5208333333333334
-cJ21LCdFZBgcZrk3ZM4t_6dj8aGiFlcTgw3OQa2Yd9eKEWkstXArUsaE60s4SzeWOE-9q6rovjDmg,87,0.9631824898629905,0.10332716054389872,0.5172413793103449
-d9tPBf-2M8aIQCSpKkHc-KdTAZnruAQNtoYAOr_-vF6a01GeO1zGCS4GiT90noVKOa8kI-vG4vN9w,56,0.9175979713055717,0.06011741144627688,0.5
-y6gB4rGWH_tPJMnTcIWew2xFDLfMrmG15u8GfyeaOpGfkV-Gxi1tLUpHkW0YiqTJK6cYqXMLHWRVA,87,1.0046821178553846,0.10257948800933295,0.5172413793103449
-yJ0UaD3s3ZiQ5lyokgwqRccSIXNOpxadqyxVqJstH2aYwaSBfZSM1fZeuuyIo4a-q3sbJyz59xFiw,39,1.0451369527851557,0.14709128244266592,0.46153846153846156
0IlUjB2V-qVefYJG-pVe_BYjYPlMuONo30pvVbsaWiHBHm_Bq-093eweMmZM41E4zz4QRIiCiLrA6g,48,1.064759767426627,0.1269539010585369,0.625
0XXQAHlGZ5HFhNh15lPFV-SAgSXKh_h2uaqwVFn_-iPXlyhh65-P2TTohX3dzPYlrrhl2IhlaHf5sA,44,1.0231412282518328,0.1214126305726864,0.4090909090909091
0jta8iUZ5A9Aw6lG1XsHB_UsG1G1HT0rcArtvlj2J6QMipcTRK8BUF7WBhodPWnqCuJ_kaWWM-1qFA,54,1.0055976598002534,0.09171074314638426,0.5
0nZ6-zSBKBHXVBOfzQJokyjO1dZXFq2PB8GSnfXwTm681vkPWPHhkq_zmSJ9C7o6bZX8X2dEsmhvsQ,413,1.0363814893257237,0.09605817606322159,0.5084745762711864
0o8_E_rDzJTquQ680_h9WAmrpc-klDYlx2Q4yh4nl-Dba96oLgJNoKFAOh3xfJKqsSqeF5Yf1h8Trw,32,0.9635116551095657,0.10020126243372952,0.5625
0oaW02aml3hYlyNYGPvuo4l1IBYycZrv16RC4Y9xGxx0zAJkVQjmfx-hwm6HmG1xu2v9jNuH-k2OQw,137,1.023798416862236,0.10810180115780288,0.5620437956204379
0qzRCZvqKj3W6E5xp6cOXqFgwMzkoeY_Rv9UnpNS-M7S_0Qt_WDtaP4dFfx99_u3usa6g6SvrpTwTw,65,0.9771478336799384,0.12166265268654519,0.5384615384615384
0yv03mx4EZK5_Ra0CH_Z5IENDKo8UgzQqoIz3D24jaGlmBNNlRoM_-qwqavQ_wezW3HkgOknqLTerg,199,0.9806631847588773,0.09602394913776265,0.5025125628140703
0z4kq3uNa9sSLpH5T9nUi84QFYMssN6RX67ln3BkKQmgivcYtif_dmN4r3QS8wU-pCsxE8jzj9d3iA,193,1.013209688880875,0.10583563076430436,0.5284974093264249
1VJbF67fK5x3G5aiG72c9BrJTDjnOsIe4_OArCQG5bTxwRwOROm4vT2N-NVKm_kz131hzlfGhZskSw,51,1.0076574873873094,0.13119699457380113,0.49019607843137253
1W-rZYRi4JdF21lQO_MOhxv6oiFhE0m7OcFzYxSoOg1n1l3ySoLNAtTKovZykYj9Zpvq9Ef8sT-3Nw,60,1.0544742114611387,0.11755080883502193,0.48333333333333334
1jrn3p7euGPmH5s2x8IFTtzmdXBnA_qa0qeOfiLOrFQfh6yx63x5rZZ67pHD7ehaEF3wiAmFGbHNGQ,251,1.0169887060251748,0.10266246546409986,0.5657370517928287
1n_Q_xknuPJvxrsOGn_TkTyp6Ckuuag7zJ0OCeIzookGjfUskO7RrKhy_bv8dWixFrklBvGKfq6H8g,39,1.0518860150348301,0.101728899606831,0.5641025641025641
1pp9VewFlomXur4t6_EsyhNshqwRBQ0oCFartRhkC2TqXFeLvVIsjqnpG_cPd_le2O6hTqgMHPCedQ,43,0.9963211126031264,0.09759064549645778,0.4186046511627907
1uz7_CSFaiw3_q6KQGDnoNPlRmmsd1O5Vql8FJ1cueKlUhzFz-SXQL1K6rV1pAFVfCFCLT_5JioeHw,36,1.0927880673700312,0.1319301343029812,0.5277777777777778
1xgbOOKvrmiVGxdyjO3uv-YrLravOiEz1yUuR_XhTcTB-4Y68ZGpaDBM95Eqoxwjiq_G8dcrX6tk_w,144,0.9574086724868192,0.08661642621137701,0.4305555555555556
2-cKStdoETxfUKUCT2uREiUVgNKuHUlEJ0rYD89KfqCGruZoNj_S7a4natWTxRqcHi6GyWCBREShzQ,362,1.0197481265632489,0.1090978809982279,0.511049723756906
22PpAst6Ei5l6cnIn9xCttZA4G5pUSRqhpkYWdQ2M16bbPqr80IKrpK92aM8NfyKts31kcaYPrfj5Q,63,0.9649756516413556,0.1228878801700208,0.4126984126984127
27_XLT-vuYGR4nwPmGNwBTUjL0xSBCNp7-wokQAhtnR1ffOGL_y22NVNJoFkLmJNUz231Bf6-HcbhQ,85,0.9903970215582221,0.08329760156419652,0.6
2IWjXXEl5tv2_4KL8psls7SN9IHghZLf_fkJgvPazxcRHzREMealsdwlZGhmHpCPuGpeAF9aHfOs8g,342,1.0375904703222212,0.1050172857235186,0.4824561403508772
2Jb3CYFo-ywjwpWFKWX6tmRoQ_QIFOdA0y1GGqbIrQfz_uc2hsG13cSqd3bIJp-vRHZ3HhN-snSRXQ,35,1.0054468678710944,0.17112954727904198,0.5428571428571428
2U6gfD-PfaQ3iBOqROLgCpDZDRQKkXD8_mDEJ6i_zfJyxGXey6BWKhm9gYv-_3tMYnCPbBp4znwxLw,37,1.0163406390910503,0.09935074065798952,0.43243243243243246
2U7M9XDUOeG2NQjP5Xiwv6PxYdiRM0TNZU9Dop0XxuVjX7fYYZI0S5BpJ8UgR4uBRKO-fQAD7huCTA,187,1.0318117728895078,0.10260727786770268,0.5347593582887701
2_M_Fyj9A7kPJzNvkyu0QyQTWDULBqG8omzAacIX_Vk8pX-FLfPFa3PIoItU1G26VHUNof1E2tZSrg,53,0.9567109889210987,0.10895447015156834,0.4528301886792453
2aXB-QZaz0rIw_PwXnCZwZdyAGovuA2aLys6QRVnHSNL70BaM-6czLKrlWQSgcmAlfW082evfYZEGQ,92,1.0161562615582171,0.09934335056204492,0.4782608695652174
2dDljZTTCNb2Kedb-aNRvnv45rSsHal-onb1mOqhkqUHwWsVqsyK3saEDi9scN68ixmQc-GYT4PN6A,101,0.935815010065352,0.10624546357139385,0.45544554455445546
2q4uR3eXTskdcnjp3Kd0IFPc4InBIdMnpDGY9ebZuNI_fa1yTrKO8AN4Li2i5l0W7o1eYYQPy0s8Xg,217,1.0259527643372617,0.11955042229104594,0.5898617511520737
2yFMUOFvVngnLVdz1myTt_9u-RkhgZh1GGcnrvjSincUmZgidHxL_t_hBvrM1NqCUoFmJQ9tnrE67Q,44,1.0199319724385154,0.09078603098211335,0.4772727272727273
2yH0NVmMjmeDtZT388LR_Fu2WkBBU0OvkFqF0gTVPHnzRs4XZFv-51pZAsXw2iEffQUFDMzxCJXckg,34,1.0032351566366717,0.11427872185721799,0.4411764705882353
36BysQ5LLVSV8He6emSgH42QKvWJUr2tn8ypKwz8pndPGBYsl5GpysQ7VNYhdr1k8lVsP62JbS-oCw,76,1.0124716315026572,0.10930746341111797,0.39473684210526316
36w9XCi-npXg0Qqte9R3HRosSxOUZTQaG6UETHn-vo4qLJ7XzbN1aS51hbLQ0UpJnTZfpCYw06huBQ,30,1.0214361532135237,0.11624977551229165,0.5
3F3Ni5G6lQ1meiS6EgHmwqDIQeiuVAQC0Dt5px_Kc7TxHzhkHP2VMv5QFxdLkm5y5qPJQKuVxa-NmQ,52,1.0131730099684142,0.10729714943406383,0.46153846153846156
3V1tRKF-HH6p2VsYYcGoCgnfg81YSfVDxGOrbAD1M_nb0U6uaZuBsVWw7LBp9jSRp6hCQDT_h6SSWA,43,1.0049258050015408,0.10058303887843316,0.5116279069767442
3VSTkmubjfBTvqeFqW31xzK0L1jKO-Gj0O_cPCq-q8N2YAsnJqnUScLN5HuJ88wvCS105qabckDndA,184,1.0263277911704416,0.10476432251077228,0.4945652173913043
3__KVHZbKoywOUvrj86mkrrv0J8RnTzFZhEiN3SqK_5sQsF4CKx7sIWEDHreQZ1d9feisg4rSkivow,74,0.9914518784057564,0.10206223085973855,0.4864864864864865
3fYXSvS6MSsBlBAdnDIsWIwGYrdpMdDFBm5LnKaAtPEC5VrOdl7PmIdrfu5iisN76o6zXLUOGfDoKA,74,0.9809282393643344,0.11853464970078804,0.5540540540540541
3icvNkppWdUAjGtPXKF7IBLoA6RRRNp8zPDHWQb35V2klfpOAl3z9bEp6HXAjVifMltJlBAyTPQaeQ,63,1.0615359582728938,0.11517920417534189,0.4603174603174603
45FTXK4jpVFtMjemwUPT8-ocyU5ws3dkz4eJhclwGufpkKDcoVtkvbnXMmw2y6hxYwYZ-QjKLEsA_w,333,1.0064115583556024,0.09602267672522655,0.5285285285285285
49-zRGhv7cwdXJlLPlOc3pKkXJAKG-kY2yV6K3kfykcLbaZreNWA9EG4b9k6qGdicKI5-tke2JjFrA,38,1.0187892017434925,0.11666509363367931,0.42105263157894735
